UWI,tbguid,lifetime_start,FAILURETYPE,GrossStrokeLength,Fillage,YesterdaysAverageSPM,bha_configuration,gas_anchor_length,MAX_INCLINATION,AVG_PRESS_FLOWLINE,AVG_PRESSURE_TUBING,AVG_PRESSURE_CASING,AVG_LIQUID_VOLUME,AVG_WATERSG,ROUTE,FAILED,lifetime_duration_days,WaterRatio,chemgroup1_score,chemgroup2_score
175-58-0111,GB55QFGB46756147811400,2014-05-02 00:00:00,Tubing,108.135619144311,91.41015625,6.0,TAC_ABOVE_NIP,19.27,2.43,60.052639,74.293221,52.782752,109.325929,1.04,900.0,1.0,1708.42,0.5361774424070981,1.0,1.0
333-68-3523,GB29QCCC14341267287129,2018-01-28 14:00:00,Tubing,173.462416520355,2.5,0.0,TAC_BELOW_NIP,17.21,2.3,53.560841,76.704153,88.331949,108.557848,1.04,882.0,1.0,473.92,0.1599108523227173,1.0,0.0
165-51-5897,GB02DJAW44801752494129,2011-09-14 00:00:00,Sucker Rod Pump,128.520974353156,73.95444412231441,5.6737776756286555,PACKER_DONNAN,20.75,2.1,52.6384456,73.51731,55.554503,56.506804,1.0988342000000002,880.0,1.0,341.0,0.1820797191078086,0.0,0.0
543-56-3494,GB84GHPH97287631470412,2016-01-12 09:00:00,Sucker Rod Pump,118.25061423534821,86.3277740478515,5.80000019073486,TAC_ABOVE_NIP,17.25,1.47,61.213809000000005,71.955446,101.809406,112.883333,1.04,875.0,1.0,429.31,0.2485235530740397,0.5,0.5
391-37-2039,GB08VYTX61977431827206,2018-06-14 13:00:00,NOFAIL,127.22845281137,61.0,4.27272701263427,TAC_BELOW_NIP,17.12,4.23,61.249198,75.968526,123.340802,93.008849,1.04,875.0,0.0,671.19,0.1704689625822592,0.5,0.0
112-36-5012,GB60LXYI09836702074834,2012-05-25 00:00:00,NOFAIL,110.159459561821,84.63966217041012,5.520000076293941,PACKER_DONNAN,20.75,2.1,50.7324766,35.659965,216.128258,75.064146,1.04,884.0,0.0,286.0,0.1159263971377227,0.0,0.0
549-66-2141,GB61TFFN64368058137270,2015-08-19 00:00:00,Tubing,145.5196797393724,77.8363647460937,5.0,TAC_ABOVE_NIP,17.21,1.3,53.7670006,96.76824,130.60515,161.034335,1.2,883.0,1.0,217.0,0.2534847118162719,0.0,0.5
898-48-7277,GB05QQYD42516534326405,2014-06-10 09:00:00,Tubing,123.80883726087745,85.64814300537105,5.424347877502438,TAC_ABOVE_NIP,37.21,1.63,35.109887400000005,28.60766,153.326968,44.297394,1.072,873.0,1.0,187.92,0.4850136330818919,0.0,0.0
755-57-3548,GB78MELI78696086123685,2019-10-14 17:00:00,NOFAIL,131.2,97.0,6.0,PACKER_DONNAN,20.72,10.1,56.484659,134.979133,160.232197,168.179554,1.04,884.0,0.0,184.03,0.2559519868865867,0.0,0.0
638-01-9762,GB73VIWK73748809145846,2012-11-27 00:00:00,Sucker Rod Pump,143.2237924640474,63.12750122100115,5.740000057220456,TAC_ABOVE_NIP,19.28,1.4,56.017583200000004,55.050613,71.300728,62.029685,1.104,900.0,1.0,260.0,0.1672478265849649,0.0,0.0
362-99-6974,GB02EXDH79640390867175,2006-02-25 00:00:00,Sucker Rod Pump,131.1549147036416,72.50420074462889,5.240000057220454,PACKER_TAC_DONNAN,40.48,2.2,65.58106740000001,0.0,55.689655,166.241831,1.04,867.0,1.0,1083.0,0.0218361646894998,0.0,0.0
629-30-1499,GB11EIVP78611108426542,2009-04-10 00:00:00,Sucker Rod Pump,118.2907387105652,87.52955169677732,5.29999995231628,UNKNOWN,39.87,1.62,62.40868539999999,77.166065,90.974729,131.818909,1.07,880.0,1.0,510.0,0.5014036112224234,0.0,0.0
333-68-3523,GB75UAUL82625828830825,2019-05-20 15:00:00,Rods,181.891931233996,92.5,6.08888864517211,TAC_BELOW_NIP,20.62,2.3,45.168991,62.37439,65.847778,57.71879,1.04,882.0,1.0,330.96,0.1754413597374442,0.5,0.0
827-97-0623,GB02RXFX37431035987350,2018-07-17 09:00:00,NOFAIL,152.947445209209,78.1999969482421,6.69999980926513,TAC_ABOVE_NIP,19.23,2.0,60.093168,65.1811,5.0669,78.270099,1.04,885.0,0.0,97.62,0.232295375019265,0.0,0.0
769-33-6236,GB75QKEU58424926241520,2014-01-22 00:00:00,NOFAIL,117.6325443214876,93.16089477539057,4.960000038146967,PACKER_DONNAN,20.74,2.81,48.3820874,149.850938,482.808984,120.597402,1.04,875.0,0.0,127.0,0.0908358457008883,0.0,0.0
336-88-0341,GB48BXGE18716812512134,2016-08-13 00:00:00,Tubing,144.334100884906,84.7961502075195,5.80000019073486,TAC_BELOW_NIP,19.24,1.99,59.055635,61.812323,77.44754,164.102894,1.04,882.0,1.0,297.54,0.312818401606007,0.5,0.0
554-80-2600,GB33ADJA41894532212583,2017-10-12 13:00:00,Tubing,142.913239489884,97.6999969482421,4.5,TAC_BELOW_NIP,17.12,4.47,56.548036,95.064411,83.777164,55.173447,1.04,871.0,1.0,737.86,0.3924012940500164,0.5,0.0
763-86-7289,GB20LMXT30255868216334,2017-03-25 16:00:00,NOFAIL,129.869750106346,52.482608795166,7.0,TAC_BELOW_NIP,17.18,1.58,59.075816,69.789212,102.519762,60.869706,1.2,875.0,0.0,1117.07,0.1840423214792593,0.5,0.0
783-54-0077,GB38QWCY57407930527894,2017-09-17 12:00:00,Sucker Rod Pump,114.30495381056,80.4000015258789,5.80000019073486,TAC_BELOW_NIP,17.1,1.08,59.57736,71.475323,109.958678,88.442964,1.04,884.0,1.0,485.21,0.2076069838636344,0.5,0.0
859-78-1684,GB91QIGL86090000654439,2016-12-29 19:00:00,Sucker Rod Pump,138.169499109255,96.1464309692382,5.19999980926513,TAC_BELOW_NIP,17.13,13.39,88.971704,117.511409,157.24657,148.301751,1.04,883.0,1.0,1102.65,0.2038075194405492,0.5,0.0
455-59-1219,GB09PRJO72818852105423,2016-02-16 10:00:00,Tubing,128.3494612320689,95.8718719482421,5.19999980926513,TAC_ABOVE_NIP,17.23,2.96,53.873273,85.526504,138.895517,147.348276,1.04,886.0,1.0,281.6,0.3990779505285831,0.0,0.0
273-75-6051,GB57HMTQ54955416341214,2016-03-30 00:00:00,Tubing,125.88171254818181,70.1014099121093,5.69999980926513,PACKER_DONNAN,20.72,5.89,55.687035,90.647306,145.003732,122.700288,1.04,872.0,1.0,338.11,0.4061582561240606,0.5,0.5
638-01-9762,GB51HCOF94193187801742,2014-02-18 00:00:00,Sucker Rod Pump,122.064749551714,91.0478286743164,3.29999995231628,TAC_ABOVE_NIP,19.31,1.4,39.852222,69.202781,68.435459,47.5025,1.2,900.0,1.0,1435.69,0.2342402189358454,1.0,1.0
